Year,High Oil Price,Low Oil Price,AEO2018 Reference
2019,95.01059,20.479137,47.10519
2020,116.592369,22.50536,62.993519
2021,135.534653,25.291626,69.901413
2022,144.157578,25.500814,72.684677
2023,150.798706,26.145151,74.801018
2024,157.061935,26.618992,75.938805
2025,162.422409,26.985069,77.019867
2026,157.895035,26.481499,77.178398
2027,164.093307,26.896336,77.449478
2028,165.248642,27.585424,78.719162
2029,171.670441,28.106815,80.201019
2030,173.027847,28.643898,81.341545
2031,174.39682,29.583937,82.912018
2032,177.226837,29.72851,84.12413
2033,178.924408,30.762777,85.351967
2034,181.141083,31.475758,86.263489
2035,184.923401,32.276909,87.272408
2036,186.904388,33.02602,87.882683
2037,186.720245,33.525612,89.997147
2038,190.104126,34.219627,91.438622
2039,192.577927,35.43335,92.675018
2040,193.494919,36.226501,93.648636
2041,195.873077,36.727207,94.775543
2042,198.816483,37.173481,95.301628
2043,201.412048,37.349323,95.840836
2044,201.241119,38.050964,96.296463
2045,202.417358,38.93248,96.973877
2046,204.288864,39.993572,96.85923
2047,206.129486,40.874592,97.643196
2048,207.391632,41.857376,98.581688
2049,209.392715,42.320229,99.111778
2050,210.958817,43.35218,99.673271
